planet_name,host_name,number_of_stars,number_of_planets,discoverymethod,disc_facility,type,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
AU Mic b,AU Mic,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.4792574,0.5174555,0.0011262868,0.0021608083,PC
DS Tuc A b,DS Tuc A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.66248757,0.3228103,1.0987214e-05,0.014691201,EB
GJ 1252 b,GJ 1252,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.06694732,0.9330487,1.153117e-07,3.892596e-06,PC
GJ 143 b,GJ 143,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8325844,0.16736224,6.203929e-08,5.3345997e-05,EB
GJ 357 b,GJ 357,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10039999,0.8995996,4.9920534e-09,3.7534838e-07,PC
HD 108236 b,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 108236 c,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 108236 d,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 108236 e,HD 108236,1,5,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.2329294,0.7670681,3.6581085e-08,2.5160523e-06,PC
HD 109833 b,HD 109833,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.88201255,0.117909566,6.135967e-05,1.6588192e-05,EB
HD 109833 c,HD 109833,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.88201255,0.117909566,6.135967e-05,1.6588192e-05,EB
HD 110082 b,HD 110082,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.22370936,0.76837885,4.340943e-05,0.0078683365,PC
HD 110113 b,HD 110113,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.060094915,0.93990237,8.3717936e-08,2.614926e-06,PC
HD 1397 b,HD 1397,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.0028271214,0.25848442,0.048263848,0.6904246,IS
HD 152843 b,HD 152843,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.101453684,0.8985387,5.1119045e-08,7.5086336e-06,PC
HD 152843 c,HD 152843,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.101453684,0.8985387,5.1119045e-08,7.5086336e-06,PC
HD 15337 b,HD 15337,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11012163,0.88987684,3.6625813e-08,1.5346435e-06,PC
HD 15337 c,HD 15337,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11012163,0.88987684,3.6625813e-08,1.5346435e-06,PC
HD 15906 b,HD 15906,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16425018,0.8357449,2.8943063e-07,4.639802e-06,PC
HD 15906 c,HD 15906,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.16425018,0.8357449,2.8943063e-07,4.639802e-06,PC
HD 183579 b,HD 183579,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.24702904,0.75295603,8.660818e-07,1.4042159e-05,PC
HD 18599 b,HD 18599,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.518161,0.47835362,0.0022044973,0.0012809053,EB
HD 191939 b,HD 191939,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042274117,0.95772547,3.4838876e-09,4.5570172e-07,PC
HD 191939 c,HD 191939,1,6,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042274117,0.95772547,3.4838876e-09,4.5570172e-07,PC
