TIC,disc_facility,discoverymethod,number_of_stars,number_of_planets,type,subtype,label,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
AU Mic b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.4792573,0.51745564,0.0011262861,0.0021608064,PC
GJ 143 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.8325844,0.16736224,6.203952e-08,5.3345997e-05,EB
GJ 357 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.10040003,0.8995995,4.992053e-09,3.7534835e-07,PC
GJ 806 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.2136708,0.78632617,1.9517601e-07,2.8192499e-06,PC
HD 108236 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,5,PC,multiple,1.0,0.23292921,0.7670682,3.6581092e-08,2.51605e-06,PC
HD 108236 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,5,PC,multiple,1.0,0.23292921,0.7670682,3.6581092e-08,2.51605e-06,PC
HD 108236 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,5,PC,multiple,1.0,0.23292921,0.7670682,3.6581092e-08,2.51605e-06,PC
HD 108236 e,Transiting Exoplanet Survey Satellite (TESS),Transit,1,5,PC,multiple,1.0,0.23292921,0.7670682,3.6581092e-08,2.51605e-06,PC
HD 109833 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.88201255,0.11790953,6.135961e-05,1.6588177e-05,EB
HD 109833 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.88201255,0.11790953,6.135961e-05,1.6588177e-05,EB
HD 110113 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.060094945,0.93990237,8.371778e-08,2.614926e-06,PC
HD 152843 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.10145367,0.89853877,5.1118956e-08,7.5086273e-06,PC
HD 152843 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.10145367,0.89853877,5.1118956e-08,7.5086273e-06,PC
HD 15337 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.11012158,0.88987684,3.6625813e-08,1.5346435e-06,PC
HD 15337 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.11012158,0.88987684,3.6625813e-08,1.5346435e-06,PC
HD 15906 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.16425006,0.83574504,2.894304e-07,4.639798e-06,PC
HD 15906 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.16425006,0.83574504,2.894304e-07,4.639798e-06,PC
HD 191939 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.042274117,0.95772547,3.4838876e-09,4.5570084e-07,PC
HD 191939 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.042274117,0.95772547,3.4838876e-09,4.5570084e-07,PC
HD 191939 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.042274117,0.95772547,3.4838876e-09,4.5570084e-07,PC
